Year,Title,Title Name,Average_Depth,Max_Depth,Average_Breadth,Max_Breadth,Num_Leaf_Nodes,Average_Branching_Factor,Variance_Branching_Factor,Number_of_Nodes,Group
1994,1,General Provisions,2.3174603174603177,4,12.6,37,53,6.2,23.96,63,Government Structure
1995,1,General Provisions,2.3174603174603177,4,12.6,37,53,6.2,23.96,63,Government Structure
1996,1,General Provisions,2.3125,4,12.8,38,54,6.3,24.00999999999999,64,Government Structure
1997,1,General Provisions,2.3125,4,12.8,38,54,6.3,24.00999999999999,64,Government Structure
1998,1,General Provisions,2.3125,4,12.8,38,54,6.3,24.00999999999999,64,Government Structure
1999,1,General Provisions,2.3125,4,12.8,38,54,6.3,24.00999999999999,64,Government Structure
2000,1,General Provisions,2.3125,4,12.8,38,54,6.3,24.00999999999999,64,Government Structure
2001,1,General Provisions,2.3125,4,12.8,38,54,6.3,24.00999999999999,64,Government Structure
2002,1,General Provisions,2.338235294117647,4,13.6,39,57,6.090909090909091,22.991735537190085,68,Government Structure
2003,1,General Provisions,2.338235294117647,4,13.6,39,57,6.090909090909091,22.991735537190085,68,Government Structure
2004,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2005,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2006,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2007,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2008,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2009,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2010,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2011,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2012,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2013,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2014,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2015,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2016,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2017,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2018,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2019,1,General Provisions,2.6625,6,11.428571428571429,39,64,4.9375,19.30859375,80,Government Structure
2020,1,General Provisions,2.6666666666666665,6,11.571428571428571,39,65,5.0,19.5,81,Government Structure
2021,1,General Provisions,2.6666666666666665,6,11.571428571428571,39,65,5.0,19.5,81,Government Structure
2022,1,General Provisions,3.52054794520548,6,20.857142857142858,39,107,3.717948717948718,11.689677843523995,146,Government Structure
2023,1,General Provisions,3.393939393939394,6,18.857142857142858,39,100,4.09375,13.2099609375,132,Government Structure
1994,2,The Congress,3.888143176733781,7,502.875,1066,2979,3.8524904214559386,63.32115280163325,4023,Government Structure
1995,2,The Congress,4.142041980843692,8,545.2222222222222,1263,3593,3.7336377473363775,51.97471325081126,4907,Government Structure
1996,2,The Congress,4.230692675159236,8,558.2222222222222,1299,3654,3.6664233576642338,40.62084341200882,5024,Government Structure
1997,2,The Congress,4.197092084006462,8,550.2222222222222,1282,3611,3.692020879940343,43.46592440224745,4952,Government Structure
1998,2,The Congress,4.211660079051383,8,562.2222222222222,1297,3684,3.676598837209302,44.50369657162499,5060,Government Structure
1999,2,The Congress,4.213236733894655,8,567.4444444444445,1306,3718,3.676025917926566,45.232693781906015,5107,Government Structure
2000,2,The Congress,4.262880029127981,8,610.3333333333334,1389,4000,3.6784996651038178,43.6233622499982,5493,Government Structure
2001,2,The Congress,4.255982981740826,8,626.7777777777778,1450,4102,3.664717348927875,43.78622102147286,5641,Government Structure
2002,2,The Congress,4.401607012417824,9,684.5,1708,4957,3.625,37.01933262711864,6845,Government Structure
2003,2,The Congress,4.4127006677084815,9,703.9,1754,5090,3.6110826064648536,37.485480049100126,7039,Government Structure
2004,2,The Congress,4.387000849617672,9,706.2,1775,5115,3.626605033384694,39.64948220815043,7062,Government Structure
2005,2,The Congress,4.395433027011975,9,718.2,1795,5199,3.621280887544125,39.27613814752944,7182,Government Structure
2006,2,The Congress,4.395183741648107,9,718.4,1796,5200,3.62046370967742,39.27077075271405,7184,Government Structure
2007,2,The Congress,4.3976,9,750.0,1911,5418,3.601825168107589,39.30303221151205,7500,Government Structure
2008,2,The Congress,4.4103411795821215,9,756.2,1903,5429,3.544772620721988,38.34082241665449,7562,Government Structure
2009,2,The Congress,4.410090897115005,9,759.1,1926,5450,3.5450723960766,37.39322770377272,7591,Government Structure
2010,2,The Congress,4.403094777562862,9,775.5,1983,5563,3.537408759124088,36.89549839495809,7755,Government Structure
2011,2,The Congress,4.400205761316872,9,777.6,1990,5574,3.530881017257039,36.984741185658606,7776,Government Structure
2012,2,The Congress,4.404622063329929,9,783.2,2003,5608,3.52113309352518,36.65602821250146,7832,Government Structure
2013,2,The Congress,4.541387559808612,9,836.0,2293,6035,3.595268817204301,38.57296686322439,8360,Government Structure
2014,2,The Congress,4.438116532947521,9,760.3,2002,5509,3.630372492836676,42.168055544158605,7603,Government Structure
2015,2,The Congress,4.43833464257659,9,763.8,2018,5532,3.62630579297246,42.05455966717264,7638,Government Structure
2016,2,The Congress,4.436650992685475,9,765.6,2020,5545,3.6262434864992894,41.95931127941548,7656,Government Structure
2017,2,The Congress,4.439539098912481,9,772.4,2035,5591,3.620721987810596,41.7591017759689,7724,Government Structure
2018,2,The Congress,4.293763810459121,8,905.1111111111112,2359,5900,3.626447016918967,41.69260420623546,8146,Government Structure
2019,2,The Congress,4.304845708775313,8,921.7777777777778,2404,5995,3.604954367666232,40.90825880930296,8296,Government Structure
2020,2,The Congress,4.505683857843724,9,835.7,2244,6022,3.5785867237687365,38.89821384847551,8357,Government Structure
2021,2,The Congress,4.517880479980991,9,841.7,2258,6062,3.5736730360934184,38.6250393750463,8417,Government Structure
2022,2,The Congress,4.522402064273986,9,852.6,2295,6138,3.569932998324958,38.45951473587713,8526,Government Structure
2023,2,The Congress,4.524071044636598,9,855.8,2308,6161,3.5698790154359616,38.33272643509051,8558,Government Structure
1994,3,The President,3.1354838709677417,6,22.142857142857142,49,114,3.7560975609756095,12.964901844140387,155,Government Structure
1995,3,The President,3.1354838709677417,6,22.142857142857142,49,114,3.7560975609756095,12.964901844140387,155,Government Structure
1996,3,The President,4.161290322580645,7,50.375,113,275,3.140625,6.542724609375,403,Government Structure
1997,3,The President,4.161290322580645,7,50.375,113,275,3.140625,6.542724609375,403,Government Structure
1998,3,The President,4.1536585365853655,7,51.25,115,279,3.122137404580153,6.595769477303151,410,Government Structure
1999,3,The President,4.1536585365853655,7,51.25,115,279,3.122137404580153,6.595769477303151,410,Government Structure
2000,3,The President,4.1536585365853655,7,51.25,115,279,3.122137404580153,6.595769477303151,410,Government Structure
2001,3,The President,4.1536585365853655,7,51.25,115,279,3.122137404580153,6.595769477303151,410,Government Structure
2002,3,The President,4.1536585365853655,7,51.25,115,279,3.122137404580153,6.595769477303151,410,Government Structure
2003,3,The President,4.1536585365853655,7,51.25,115,279,3.122137404580153,6.595769477303151,410,Government Structure
2004,3,The President,4.1536585365853655,7,51.25,115,279,3.122137404580153,6.595769477303151,410,Government Structure
2005,3,The President,4.1536585365853655,7,51.25,115,279,3.122137404580153,6.595769477303151,410,Government Structure
2006,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2007,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2008,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2009,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2010,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2011,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2012,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2013,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2014,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2015,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2016,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2017,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2018,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2019,3,The President,4.257978723404255,7,47.0,110,254,3.0737704918032787,6.494557914539093,376,Government Structure
2020,3,The President,4.269633507853404,7,47.75,111,259,3.097560975609756,6.445766408883572,382,Government Structure
2021,3,The President,4.269633507853404,7,47.75,111,259,3.097560975609756,6.445766408883572,382,Government Structure
2022,3,The President,4.256578947368421,7,57.0,134,303,2.973856209150327,5.33264983553331,456,Government Structure
2023,3,The President,4.256578947368421,7,57.0,134,303,2.973856209150327,5.33264983553331,456,Government Structure
1994,4,"Flag and Seal, Seat of Government, and the States",2.467741935483871,4,12.4,27,44,3.388888888888889,6.904320987654322,62,Government Structure
1995,4,"Flag and Seal, Seat of Government, and the States",2.8780487804878048,5,13.666666666666666,28,60,3.6818181818181817,8.307851239669418,82,Government Structure
1996,4,"Flag and Seal, Seat of Government, and the States",2.8780487804878048,5,13.666666666666666,28,60,3.6818181818181817,8.307851239669418,82,Government Structure
1997,4,"Flag and Seal, Seat of Government, and the States",2.8780487804878048,5,13.666666666666666,28,60,3.6818181818181817,8.307851239669418,82,Government Structure
1998,4,"Flag and Seal, Seat of Government, and the States",2.933333333333333,5,22.5,62,106,4.620689655172414,14.235434007134348,135,Government Structure
1999,4,"Flag and Seal, Seat of Government, and the States",2.933333333333333,5,22.5,62,106,4.620689655172414,14.235434007134348,135,Government Structure
2000,4,"Flag and Seal, Seat of Government, and the States",3.127853881278539,5,36.5,97,163,3.892857142857143,16.809948979591827,219,Government Structure
2001,4,"Flag and Seal, Seat of Government, and the States",3.127853881278539,5,36.5,97,163,3.892857142857143,16.809948979591827,219,Government Structure
2002,4,"Flag and Seal, Seat of Government, and the States",3.127853881278539,5,36.5,97,163,3.892857142857143,16.809948979591827,219,Government Structure
2003,4,"Flag and Seal, Seat of Government, and the States",3.127853881278539,5,36.5,97,163,3.892857142857143,16.809948979591827,219,Government Structure
2004,4,"Flag and Seal, Seat of Government, and the States",3.127853881278539,5,36.5,97,163,3.892857142857143,16.809948979591827,219,Government Structure
2005,4,"Flag and Seal, Seat of Government, and the States",3.127853881278539,5,36.5,97,163,3.892857142857143,16.809948979591827,219,Government Structure
