Citing,Cited,Year,Weight,Citing Title,Cited Title,Citing Word Count,Cited Word Count,Citing/Word Counts,Cited/Word Counts,Citing Group,Cited Group
5,1,1926,8,Government Organization and Employees,General Provisions,62319,1003,0.0001283717646303,0.007976071784646,Government Structure,Government Structure
8,18,1926,9,Aliens and National and Citizenship,Crimes and Criminal Procedure,52213,75339,0.0001723708654932,0.0001194600406164,Society,Society
29,10,1926,6,Labor,Armed Forces,4295,82467,0.0013969732246798,7.275637527738368e-05,Society,National Defense
10,5,1926,8,Armed Forces,Government Organization and Employees,82467,62319,9.700850036984491e-05,0.0001283717646303,National Defense,Government Structure
10,1,1926,13,Armed Forces,General Provisions,82467,1003,0.0001576388131009,0.0129611166500498,National Defense,Government Structure
10,37,1926,29,Armed Forces,Pay and Allowances of the Uniformed Services,82467,7113,0.0003516558138406,0.0040770420357092,National Defense,National Defense
49,10,1926,7,Transportation,Armed Forces,48654,82467,0.0001438730628519,8.48824378236143e-05,Economy,National Defense
28,11,1926,6,Judiciary and Judicial Procedure,Bankruptcy,98677,16282,6.080444277795231e-05,0.0003685050976538,Society,Economy
28,15,1926,8,Judiciary and Judicial Procedure,Commerce and Trade,98677,39492,8.107259037060308e-05,0.0002025726729464,Society,Economy
31,1,1926,9,Money and Finance,General Provisions,56724,1003,0.0001586629997884,0.0089730807577268,Economy,Government Structure
31,12,1926,12,Money and Finance,Banks and Banking,56724,78438,0.0002115506663845,0.0001529870725923,Economy,Economy
12,31,1926,6,Banks and Banking,Money and Finance,78438,56724,7.649353629618297e-05,0.0001057753331922,Economy,Economy
12,15,1926,6,Banks and Banking,Commerce and Trade,78438,39492,7.649353629618297e-05,0.0001519295047098,Economy,Economy
32,37,1926,19,National Guard,Pay and Allowances of the Uniformed Services,16075,7113,0.0011819595645412,0.0026711654716715,National Defense,National Defense
39,5,1926,6,Postal Service,Government Organization and Employees,56922,62319,0.0001054073995994,9.627882347277717e-05,Economy,Government Structure
19,21,1926,6,Customs Duties,Food and Drugs,83322,22820,7.200979333189313e-05,0.0002629272567922,Economy,Society
25,43,1926,6,Indians,Public Lands,42126,99827,0.0001424298532972,6.01039798852014e-05,Society,Economy
34,37,1926,10,Navy,Pay and Allowances of the Uniformed Services,77856,7113,0.0001284422523633,0.0014058765640376,National Defense,National Defense
30,43,1926,10,Mineral Lands and Mining,Public Lands,23758,99827,0.0004209108510817,0.0001001732998086,Economy,Economy
5,31,1934,20,Government Organization and Employees,Money and Finance,87643,87442,0.000228198487044,0.0002287230392717,Government Structure,Economy
5,39,1934,6,Government Organization and Employees,Postal Service,87643,64605,6.845954611320926e-05,9.287206872533086e-05,Government Structure,Economy
31,5,1934,17,Money and Finance,Government Organization and Employees,87442,87643,0.0001944145833809,0.0001939687139874,Economy,Government Structure
31,12,1934,25,Money and Finance,Banks and Banking,87442,171497,0.0002859037990896,0.0001457751447547,Economy,Economy
39,5,1934,17,Postal Service,Government Organization and Employees,64605,87643,0.0002631375280551,0.0001939687139874,Economy,Government Structure
12,31,1934,26,Banks and Banking,Money and Finance,171497,87442,0.0001516061505449,0.0002973399510532,Economy,Economy
12,15,1934,12,Banks and Banking,Commerce and Trade,171497,96987,6.9972069482265e-05,0.0001237279222988,Economy,Economy
8,18,1934,11,Aliens and National and Citizenship,Crimes and Criminal Procedure,65525,87302,0.0001678748569248,0.0001259994043664,Society,Society
24,31,1934,17,Hospitals and Asylums,Money and Finance,20891,87442,0.0008137475467904,0.0001944145833809,Society,Economy
24,38,1934,40,Hospitals and Asylums,Veterans Benefits,20891,117089,0.0019147001100952,0.0003416204767313,Society,National Defense
38,5,1934,10,Veterans Benefits,Government Organization and Employees,117089,87643,8.540511918284382e-05,0.000114099243522,National Defense,Government Structure
38,31,1934,9,Veterans Benefits,Money and Finance,117089,87442,7.686460726455944e-05,0.0001029253676722,National Defense,Economy
26,1,1934,9,Internal Revenue Code,General Provisions,180610,1501,4.983112784452688e-05,0.00599600266489,Economy,Government Structure
26,27,1934,11,Internal Revenue Code,Intoxicating Liquors,180610,7933,6.09047118099773e-05,0.0013866128828942,Economy,Society
29,5,1934,8,Labor,Government Organization and Employees,12020,87643,0.0006655574043261,9.127939481761236e-05,Society,Government Structure
45,49,1934,7,Railroads,Transportation,29413,54942,0.0002379900044198,0.0001274070838338,Economy,Economy
49,45,1934,8,Transportation,Railroads,54942,29413,0.0001456080958101,0.0002719885764797,Economy,Economy
46,5,1934,25,Shipping,Government Organization and Employees,116664,87643,0.0002142906123568,0.000285248108805,Economy,Government Structure
46,19,1934,14,Shipping,Customs Duties,116664,111914,0.0001200027429198,0.0001250960559,Economy,Economy
19,5,1934,10,Customs Duties,Government Organization and Employees,111914,87643,8.935432564290438e-05,0.000114099243522,Economy,Government Structure
7,26,1934,11,Agriculture,Internal Revenue Code,63152,180610,0.0001741829237395,6.09047118099773e-05,Society,Economy
10,37,1934,48,Armed Forces,Pay and Allowances of the Uniformed Services,109913,8312,0.0004367090335083,0.0057747834456207,National Defense,National Defense
15,49,1934,10,Commerce and Trade,Transportation,96987,54942,0.0001031066019157,0.0001820101197626,Economy,Economy
16,5,1934,22,Conservation,Government Organization and Employees,156187,87643,0.0001408567934591,0.0002510183357484,Society,Government Structure
16,31,1934,15,Conservation,Money and Finance,156187,87442,9.60387228130382e-05,0.0001715422794538,Society,Economy
16,40,1934,8,Conservation,"Public Buildings, Property, and Works",156187,46305,5.122065216695372e-05,0.0001727675197062,Society,Economy
